,Environmental Factors,,,,Primary Production,,,,Foodweb,,,,Anthropogenic Impacts,,,,,,Environmental Factors,,Primary Production,,Foodweb,,Anthropogenic Impacts,
,Negative,Neutral,Positive,,Negative,Neutral,Positive,,Negative,Neutral,Positive,,Negative,Neutral,Positive,,,,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive
Abundance,3741,0,6259,,7598,0,2402,,5267,0,4733,,9116,0,884,,,Abundance,3741,6259,7598,2402,5267,4733,9116,884
CO2,4658,0,5342,,1069,0,8931,,5985,0,4015,,5077,0,4923,,,Fitness,6300,3700,5811,4189,7469,2531,9337,663
Contaminants,0,10000,0,,0,10000,0,,0,10000,0,,0,0,10000,,,Other Salmon,5883,4117,4192,5808,3599,6401,2339,7661
Diatoms,6738,0,3262,,4404,0,5596,,5554,0,4446,,2533,0,7467,,,Residency,4344,5656,6266,3734,4362,5638,2330,7670
Disease,0,10000,0,,0,10000,0,,0,10000,0,,0,0,10000,,,Size,6300,3700,5811,4189,7469,2531,6562,3438
Dissolved Oxygen,5096,0,4904,,9141,0,859,,3962,0,6038,,4840,0,5160,,,Survival,3741,6259,7598,2402,5267,4733,9347,653
Fitness,6300,0,3700,,5811,0,4189,,7469,0,2531,,9337,0,663,,,,,,,,,,,
Forage Fish,5669,0,4331,,3049,0,6951,,4592,0,5408,,3324,0,6676,,,,,,,,,,,
Gelatinous Zoops,5844,0,4156,,3361,0,6639,,3861,0,6139,,2480,0,7520,,,,Environmental Factors,,Primary Production,,Foodweb,,Anthropogenic Impacts,
Global Warming,0,10000,0,,0,10000,0,,0,10000,0,,0,10000,0,,,,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive
Habitat Loss,0,10000,0,,0,10000,0,,0,10000,0,,0,0,10000,,,Other Salmon,5883,4117,4192,5808,3599,6401,2339,7661
Harvest,0,10000,0,,0,10000,0,,0,10000,0,,0,10000,0,,,Residency,4344,5656,6266,3734,4362,5638,2330,7670
Hatcheries,0,10000,0,,0,10000,0,,0,10000,0,,0,0,10000,,,Size,6300,3700,5811,4189,7469,2531,6562,3438
Ichthyoplankton,5227,0,4773,,5953,1,4046,,8799,0,1201,,3829,0,6171,,,Fitness,6300,3700,5811,4189,7469,2531,9337,663
Marine Mammals,5129,0,4871,,6338,0,3662,,5003,1,4996,,6913,0,3087,,,Abundance,3741,6259,7598,2402,5267,4733,9116,884
Microbial Detritivores,6269,0,3731,,1499,0,8501,,4273,0,5727,,2628,1,7371,,,Survival,3741,6259,7598,2402,5267,4733,9347,653
Microplankton,4502,0,5498,,2450,0,7550,,6970,1,3029,,5701,0,4299,,,,,,,,,,,
Nutrients,2086,0,7914,,4498,0,5502,,3256,0,6744,,4391,0,5609,,,,,,,,,,,
Other Salmon,5883,0,4117,,4192,0,5808,,3599,0,6401,,2339,0,7661,,,,,,,,,,,
Piscivorous Birds,5063,0,4937,,5702,0,4298,,3408,0,6592,,6258,0,3742,,,,,,,,,,,
Piscivorous Fish,5072,0,4928,,5373,0,4627,,9106,0,894,,3929,0,6071,,,,,,,,,,,
Precipitation,0,0,10000,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Residency,4344,0,5656,,6266,0,3734,,4362,0,5638,,2330,0,7670,,,,,,,,,,,
River Flow,0,0,10000,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Size,6300,0,3700,,5811,0,4189,,7469,0,2531,,6562,0,3438,,,,,,,,,,,
Stratification,4474,0,5526,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Sunlight,10000,0,0,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Survival,3741,0,6259,,7598,0,2402,,5267,0,4733,,9347,0,653,,,,,,,,,,,
Temperature,9715,0,285,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Turbidity,4192,0,5808,,4404,2,5594,,5554,0,4446,,2533,0,7467,,,,,,,,,,,
Upwelling,0,0,10000,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Winter Storms,0,0,10000,,0,10000,0,,0,10000,0,,0,10000,0,,,,,,,,,,,
Zooplankton,5059,0,4941,,6923,1,3076,,3202,0,6798,,6055,0,3945,,,,,,,,,,,
